,experiment,rouge_type,score_type,score,confidence_level,level1,-,level2
3042,MI_MS_20,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3043,MI_MS_20,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3044,MI_MS_20,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3045,MI_MS_20,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3046,MI_MS_20,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3047,MI_MS_20,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3048,MI_MS_20,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3049,MI_MS_20,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3050,MI_MS_20,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3051,MI_MS_A,ROUGE-1,Average_R:,0.07429,(95%-conf.int.,0.052629999999999996,-,0.08696)
3052,MI_MS_A,ROUGE-1,Average_P:,0.014490000000000001,(95%-conf.int.,0.01087,-,0.02174)
3053,MI_MS_A,ROUGE-1,Average_F:,0.02401,(95%-conf.int.,0.018019999999999998,-,0.03478)
3054,MI_MS_A,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3055,MI_MS_A,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3056,MI_MS_A,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3057,MI_MS_A,ROUGE-SU*,Average_R:,0.0145,(95%-conf.int.,0.007809999999999999,-,0.02273)
3058,MI_MS_A,ROUGE-SU*,Average_P:,0.00062,(95%-conf.int.,0.00045999999999999996,-,0.00093)
3059,MI_MS_A,ROUGE-SU*,Average_F:,0.00117,(95%-conf.int.,0.0008699999999999999,-,0.00174)
3060,MI_OP_10,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3061,MI_OP_10,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3062,MI_OP_10,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3063,MI_OP_10,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3064,MI_OP_10,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3065,MI_OP_10,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3066,MI_OP_10,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3067,MI_OP_10,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3068,MI_OP_10,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3069,MI_OP_20,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3070,MI_OP_20,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3071,MI_OP_20,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3072,MI_OP_20,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3073,MI_OP_20,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3074,MI_OP_20,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3075,MI_OP_20,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3076,MI_OP_20,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3077,MI_OP_20,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3078,MI_OP_A,ROUGE-1,Average_R:,0.03207,(95%-conf.int.,0.0,-,0.05263)
3079,MI_OP_A,ROUGE-1,Average_P:,0.06673,(95%-conf.int.,0.0,-,0.10000)
3080,MI_OP_A,ROUGE-1,Average_F:,0.04324,(95%-conf.int.,0.0,-,0.06896)
3081,MI_OP_A,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3082,MI_OP_A,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3083,MI_OP_A,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3084,MI_OP_A,ROUGE-SU*,Average_R:,0.00477,(95%-conf.int.,0.0,-,0.00781)
3085,MI_OP_A,ROUGE-SU*,Average_P:,0.02383,(95%-conf.int.,0.0,-,0.03571)
3086,MI_OP_A,ROUGE-SU*,Average_F:,0.007940000000000001,(95%-conf.int.,0.0,-,0.01282)
3087,MICROPINION,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3088,MICROPINION,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3089,MICROPINION,ROUGE-1,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3090,MICROPINION,ROUGE-2,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3091,MICROPINION,ROUGE-2,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3092,MICROPINION,ROUGE-2,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3093,MICROPINION,ROUGE-SU*,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3094,MICROPINION,ROUGE-SU*,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
3095,MICROPINION,ROUGE-SU*,Average_F:,0.0,(95%-conf.int.,0.0,-,0.00000)
3096,MI_MS_10,ROUGE-1,Average_R:,0.0,(95%-conf.int.,0.0,-,0.00000)
3097,MI_MS_10,ROUGE-1,Average_P:,0.0,(95%-conf.int.,0.0,-,0.00000)
